name,female,male,year
Abdilahi,0,6,2016
Abdilaziz,0,5,2016
Abdilbari,0,3,2016
Abdilj,0,15,2016
Abdiljazis,0,3,2016
Abdiljnaser,0,3,2016
Abdilnaser,0,7,2016
Abdilsamet,0,3,2016
Abdilselam,0,3,2016
Abdimajid,0,4,2016
Abdimalik,0,10,2016
Abdinaasir,0,3,2016
Abdinasir,0,22,2016
Abdinassir,0,3,2016
Abdiqani,0,7,2016
Abdirahim,0,11,2016
Abdirahin,0,3,2016
Abdirahman,0,138,2016
Abdiraim,0,3,2016
Abdiraman,0,7,2016
Abdirashid,0,25,2016
Abdirazak,0,5,2016
Abdirisaaq,0,4,2016
Abdirisak,0,12,2016
Abdirisaq,0,13,2016
Abdirizak,0,24,2016
Abdirizaq,0,3,2016
Abdisalam,0,12,2016
Abdisalan,0,9,2016
Abdisamad,0,5,2016
Abdishakur,0,13,2016
Abdiwahab,0,3,2016
Abdiwahid,0,4,2016
Abdiwali,0,7,2016
Abdiweli,0,3,2016
Abdo,0,17,2016
Abdol,0,33,2016
Abdolali,0,4,2016
Abdolhamid,0,10,2016
Abdolhossein,0,4,2016
Abdolkarim,0,3,2016
Abdollah,0,21,2016
Abdolrahim,0,4,2016
Abdolrahman,0,3,2016
Abdolreza,0,9,2016
Abdon,0,4,2016
Abdou,0,71,2016
Abdoukarim,0,3,2016
Abdoul,0,64,2016
Abdoula,0,3,2016
Abdoulaye,0,115,2016
Abdoulie,0,13,2016
Abdoullah,0,7,2016
Abdourahamane,0,8,2016
Abdourahman,0,5,2016
Abdourahmane,0,12,2016
Abdu,0,49,2016
Abdukadir,0,4,2016
Abdul,0,597,2016
Abdul-Hamid,0,4,2016
Abdul-Karim,0,7,2016
Abdul-Malik,0,3,2016
Abdul-Rahman,0,3,2016
Abdula,0,125,2016
Abdulaahi,0,6,2016
Abduladi,0,7,2016
Abdulah,0,62,2016
Abdulahad,0,7,2016
Abdulahi,0,64,2016
Abdulai,0,7,2016
Abdulaki,0,3,2016
Abdulakim,0,5,2016
Abdulalim,0,3,2016
Abdulatif,0,8,2016
Abdulaziz,0,71,2016
Abdulbaki,0,5,2016
Abdulbaset,0,4,2016
Abdulbasit,0,3,2016
Abdulbesir,0,5,2016
Abduldjemil,0,5,2016
Abduldzemil,0,3,2016
Abdule,0,4,2016
Abdulezel,0,3,2016
Abdulfatah,0,5,2016
Abdulfet,0,3,2016
Abdulfeta,0,3,2016
Abdulgadir,0,3,2016
Abdulgafur,0,4,2016
Abdulgani,0,7,2016
Abdulghani,0,8,2016
Abdulhadi,0,14,2016
Abdulhafiz,0,3,2016
Abdulhakim,0,20,2016
Abdulhalim,0,15,2016
Abdulhamid,0,31,2016
Abdulhamit,0,9,2016
Abdulj,0,3,2016
Abduljalil,0,3,2016
Abdulkadar,0,9,2016
Abdulkader,0,26,2016
Abdulkadir,0,121,2016
Abdulkadri,0,3,2016
Abdulkahar,0,3,2016
Abdulkareem,0,6,2016
Abdulkarim,0,30,2016
Abdulkerim,0,25,2016
Abdulkjerim,0,4,2016
Abdull,0,8,2016
Abdulla,0,56,2016
Abdullah,0,667,2016
Abdullahat,0,3,2016
Abdullahi,0,97,2016
Abdullatif,0,11,2016
Abdulle,0,3,2016
Abdulmajeed,0,3,2016
Abdulmalek,0,7,2016
Abdulmalik,0,10,2016
Abdulmecit,0,4,2016
Abdulmedzit,0,3,2016
Abdulmesih,0,3,2016
Abdulnaser,0,10,2016
Abdulqaadir,0,3,2016
Abdulqader,0,3,2016
